,HaulLat,HaulLong,Year,Distance,BottomDepth,Plastic_Weight
499,54.7686,10.459,2015,2442,24,0
500,54.7694,10.4564,2014,2329,24,0
501,54.7717,15.9483,2017,2660,54,2.6238
502,54.7717,15.9517,2016,2785,54,1.0383
503,54.7717,16.8617,2017,2965,30,0.01
504,54.7718,13.934,2012,2854,40,0
505,54.7733,14.7993,2013,2865,50,0
506,54.7733,16.8667,2016,2665,30,0.0051
507,54.7733,17.0067,2015,2979,19,0
508,54.7735,14.6922,2017,3141,46,0
509,54.7749,13.9917,2016,2998,39,0
510,54.7756,15.6486,2016,NA,74,0
511,54.7757,13.9158,2017,2898,40,0.007
512,54.7767,15.3483,2016,2636,68,0.02
513,54.7767,17.0133,2016,2856,19,0.006
514,54.7767,18.69,2017,3229,35,0.0676
515,54.7768,14.9872,2015,2851,62,0
516,54.777,13.9347,2014,2744,39,0
517,54.7776,13.9273,2016,2753,39,0
518,54.7783,18.69,2016,3061,35,0.012
519,54.779,10.4633,2015,NA,25,0
520,54.78,17.0083,2016,2628,19,0
521,54.78,18.685,2015,2518,33,0.0034
522,54.7804,12.363,2017,2776,22,0.062
523,54.7808,12.3628,2017,2962,22,0.721
524,54.781,10.4207,2012,2365,24,0
525,54.7811,15.6934,2015,2891,76,0
526,54.7812,14.699,2013,2757,44,0.032
527,54.7815,12.3632,2015,2997,22,0.5
528,54.7817,14.95,2017,1821,59,0
529,54.7818,13.966,2013,2646,38,0
530,54.7828,13.9737,2013,3008,40,0
531,54.7833,17.0117,2017,2979,19,0.0708
532,54.7847,12.3607,2013,2873,22,0.25
533,54.7853,15.74,2017,2782,73,0
534,54.7854,14.9452,2016,2990,59,0
535,54.7857,10.168,2014,NA,26,0
536,54.7857,12.3602,2014,2731,22,3.568
537,54.7858,12.361,2014,2704,22,0.221
538,54.7872,14.9753,2014,2729,60,0
539,54.7875,10.1654,2014,2337,26,0
540,54.7875,12.3608,2013,2757,23,0.006
541,54.7881,10.1687,2015,NA,26,0
542,54.7883,15.645,2016,2811,74,0
543,54.7921,15.3046,2015,2791,71,0
544,54.7925,15.6955,2013,2884,75,0
545,54.7958,10.1715,2013,2096,27,0
546,54.7973,15.0353,2016,NA,60,0.002
547,54.7983,18.6667,2016,2684,34,0.13
548,54.799,15.3107,2017,2835,70,0
549,54.7993,13.2338,2017,2883,44,0.12
550,54.7999,13.9842,2016,2812,40,0
551,54.8004,15.3101,2013,2769,72,0
552,54.8006,13.4515,2016,3178,44,0
553,54.8032,13.2498,2016,3170,44,0
554,54.8032,15.0153,2012,3067,57,0
555,54.8035,14.9962,2017,NA,60,0
556,54.8037,12.9853,2013,2792,25,0
557,54.8042,13.2382,2017,2784,44,5.2
558,54.8043,10.3148,2012,2418,27,0
559,54.8045,13.2392,2013,2736,44,0.18
560,54.805,13.2325,2015,2871,44,0.023
561,54.8053,13.2307,2014,2780,43,0
562,54.8053,15.0047,2016,2800,57,0.366
563,54.8054,15.005,2017,2819,57,0
564,54.8055,13.2238,2014,2791,43,0
